tier,domain,name,posts,in_measured,in_dealgong,robots_status,crawl_allowed,note
T1,amazon.com,Amazon,788,1,1,200,YES,"allowed:/sale,/clearance"
T1,woot.com,Woot,206,1,0,200,YES,"allowed:/sale,/clearance"
T1,ebay.com,EBay,160,1,1,200,YES,"allowed:/sale,/clearance"
T2,macys.com,Macys,84,1,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T2,nordstromrack.com,Nordstrom Rack,42,1,1,200,YES,"allowed:/sale,/clearance"
T2,adidas.com,Adidas,40,1,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T2,nike.com,Nike,40,1,1,200,YES,"allowed:/sale,/clearance"
T2,columbia.com,Columbia,27,1,0,200,YES,"allowed:/sale,/clearance"
T2,theoutnet.com,Theoutnet,23,1,0,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T2,zappos.com,Zappos,23,1,0,200,YES,"allowed:/sale,/clearance"
T2,jomashop.com,Jomashop,20,1,1,200,YES,"allowed:/sale,/clearance"
T2,rei.com,REI,18,1,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T2,nordstrom.com,Nordstrom,15,1,1,200,YES,"allowed:/sale,/clearance"
T3,levi.com,Levi's,14,1,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T3,ashford.com,Ashford,12,1,0,200,YES,"allowed:/sale,/clearance"
T3,asos.com,Asos,12,1,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T3,merrell.com,Merrell,12,1,0,200,YES,"allowed:/sale,/clearance"
T3,dickssportinggoods.com,Dickssportinggoods,11,1,0,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T3,underarmour.com,Underarmour,9,1,0,200,YES,"allowed:/sale,/clearance"
T3,adorama.com,Adorama,8,1,0,200,YES,"allowed:/sale,/clearance"
T3,bhphotovideo.com,Bhphotovideo,8,1,0,200,YES,"allowed:/sale,/clearance"
T3,shop.simon.com,Shop,8,1,0,200,YES,"allowed:/sale,/clearance"
T3,eddiebauer.com,Eddiebauer,7,1,0,200,YES,"allowed:/sale,/clearance"
T3,saksfifthavenue.com,Saks Fifth Avenue,7,1,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T3,ssense.com,Ssense,7,1,1,200,YES,"allowed:/sale,/clearance"
T3,theory.com,Theory,7,1,0,200,YES,"allowed:/sale,/clearance"
T3,endclothing.com,Endclothing,6,1,1,200,YES,"allowed:/sale,/clearance"
T3,joesnewbalanceoutlet.com,Joesnewbalanceoutlet,6,1,0,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T3,shoebacca.com,Shoebacca,5,1,0,200,YES,"allowed:/sale,/clearance"
T3,bloomingdales.com,Bloomingdales,4,1,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T3,cettire.com,Cettire,4,1,1,200,YES,"allowed:/sale,/clearance"
T3,gapfactory.com,Gapfactory,4,1,0,200,YES,"allowed:/sale,/clearance"
T3,ssfshop.com,Ssfshop,4,1,0,200,NO,disallow all
T3,lacoste.com,LACOSTE,3,1,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T3,lenovo.com,Lenovo,3,1,0,200,YES,"allowed:/sale,/clearance"
T3,lotteon.com,Lotteon,3,1,0,200,NO,disallow all
T3,menswearhouse.com,Menswearhouse,3,1,0,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T3,musinsa.com,Musinsa,3,1,0,200,NO,disallow all
T3,newegg.com,Newegg,3,1,0,200,YES,"allowed:/sale,/clearance"
T3,villeroy-boch.com,Villeroy-Boch,3,1,0,200,YES,"allowed:/sale,/clearance"
T3,walmart.com,Walmart,3,1,0,200,YES,"allowed:/sale,/clearance"
T3,6pm.com,6PM,2,1,1,200,YES,"allowed:/sale,/clearance"
T3,amazon.co.jp,Amazon,2,1,0,200,YES,"allowed:/sale,/clearance"
T3,dellrefurbished.com,Dellrefurbished,2,1,0,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T3,dsw.com,DSW,2,1,1,200,YES,"allowed:/sale,/clearance"
T3,gilt.com,Gilt,2,1,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T3,harmankardon.com,Harmankardon,2,1,0,200,YES,"allowed:/sale,/clearance"
T3,hp.com,Hp,2,1,0,200,YES,"allowed:/sale,/clearance"
T3,jentestore.com,Jentestore,2,1,0,200,NO,disallow all
T3,mw.wemakeprice.com,Mw,2,1,0,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T3,newbalance.com,Newbalance,2,1,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T3,ozip.me,Ozip,2,1,0,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T3,revolve.com,Revolve,2,1,1,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T3,samsclub.com,Samsclub,2,1,0,200,YES,"allowed:/sale,/clearance"
T3,shopbop.com,Shopbop,2,1,1,200,YES,"allowed:/sale,/clearance"
T3,shoppremiumoutlets.com,Shop Premium Outlets,2,1,1,200,YES,"allowed:/sale,/clearance"
T3,ssg.li,Ssg,2,1,0,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T3,urbanoutfitters.com,Urbanoutfitters,2,1,0,접근불가,UNKNOWN,여전히 차단 - 제휴 피드 권장
T4,100percent.com,100Percent,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,academy.com,Academy,1,1,0,200,YES,"allowed:/sale,/clearance"
T4,aeropostale.com,Aeropostale,1,1,0,200(browser),YES,"allowed:/sale,/clearance"
